bloomberg_ticker,yahoo,data_provider,signals_ticker
ROSE US,,eodhd,ROSE.US
ABC LN,ABC.L,eodhd,ABC.LSE
SAMG US,SAMG,eodhd,SAMG.US
NANO SP,MZH.SI,eodhd,MZH.SG
FR US,,eodhd,FR.US
FFG US,,eodhd,FFG.US
GLYHO TI,,eodhd,GLYHO.IS
A043650 KS,,eodhd,043650.KQ
SOLU BB,,eodhd,SOLU.BR
APTV US,APTV,eodhd,APTV.US
TOWR IJ,,eodhd,TOWR.JK
GNC US,,eodhd,GNC.US
CTCT US,,eodhd,CTCT.US
FOXF US,FOXF,eodhd,FOXF.US
GRM US,,eodhd,GRM.US
SBY CN,,eodhd,SBY.TO
GPW PW,GPW.WA,eodhd,GPW.WAR
MOVE SW,MOVE.SW,eodhd,MOVE.SW
AVCT US,,eodhd,AVCT.US
MLD AU,,eodhd,MLD.AU
VMED US,,eodhd,VMED.US
CCOI US,CCOI,eodhd,CCOI.US
VHS US,,eodhd,VHS.US
CBRE US,CBRE,eodhd,CBRE.US
PGNY US,PGNY,eodhd,PGNY.US
CA US,,eodhd,CA.US
7951 JP,7951.T,yahoo,7951.T
GGG US,GGG,eodhd,GGG.US
SCHP FP,,eodhd,SCHP.PA
SIDE GA,,eodhd,SIDE.AT
AME US,AME,eodhd,AME.US
NZ US,,eodhd,NZ.US
6826 HK,6826.HK,eodhd,6826.HK
LXS GR,LXS.DE,eodhd,LXS.XETRA
MIG GA,,eodhd,MIG.AT
MGGT LN,,eodhd,MGGT.LSE
ACL SJ,,eodhd,ACL.JSE
PSMT US,,eodhd,PSMT.US
8270 JP,,yahoo,
TTKOM TI,,eodhd,TTKOM.IS
2855 TT,,eodhd,2855.TW
ATHN US,,eodhd,ATHN.US
302440 KS,302440.KS,eodhd,302440.KQ
000700 KS,,eodhd,000700.KQ
HAG GR,,eodhd,HAG.XETRA
6703 JP,,yahoo,
PIHLIS FH,,eodhd,PIHLIS.HE
DOL CN,DOL.TO,eodhd,DOL.TO
TPTX US,,eodhd,TPTX.US
SBM AU,SBM.AX,eodhd,SBM.AU
CVGW US,CVGW,eodhd,CVGW.US
2886 TT,2886.TW,eodhd,2886.TW
PIPR US,PIPR,eodhd,PIPR.US
LYFT US,LYFT,eodhd,LYFT.US
GIL GR,,eodhd,GIL.XETRA
122900 KS,,eodhd,122900.KO
8840 JP,,yahoo,
SWM US,,eodhd,SWM.US
GNBC US,,eodhd,GNBC.US
RML US,,eodhd,RML.US
PDL LN,,eodhd,PDL.LSE
INFU US,,eodhd,INFU.US
RF FP,RF.PA,eodhd,RF.PA
ARS US,,eodhd,ARS.US
LWB PW,,eodhd,LWB.WAR
LAZ US,LAZ,eodhd,LAZ.US
WTTR US,WTTR,eodhd,WTTR.US
3706 TT,,eodhd,3706.TW
ALB SM,,eodhd,ALB.MC
WYNN US,WYNN,eodhd,WYNN.US
RMLI IT,,eodhd,RMLI.TA
PRTR US,,eodhd,PRTR.US
RIO CN,,eodhd,RIO.V
LD IM,,eodhd,LD.MI
AWC TB,,eodhd,AWC.BK
LCRY US,,eodhd,LCRY.US
BTG LN,,eodhd,BTG.LSE
PAYO US,PAYO,eodhd,PAYO.US
9413 JP,9413.T,yahoo,9413.T
SCMR US,,eodhd,SCMR.US
BX US,BX,eodhd,BX.US
BFI IM,,eodhd,BFI.MI
GRR AU,,eodhd,GRR.AU
6209 TT,,eodhd,6209.TW
CLPT US,,eodhd,CLPT.US
PCBK US,,eodhd,PCBK.US
TRIL CN,,eodhd,TRIL.TO
LEG CN,,eodhd,LEG.TO
CPALL TB,CPALL.BK,eodhd,CPALL.BK
ERT LN,,eodhd,ERT.LSE
BBRI IJ,,eodhd,BBRI.JK
MNTG US,,eodhd,MNTG.US
IFCJ US,,eodhd,IFCJ.US
SWON SW,SWON.SW,eodhd,SWON.SW
MEDI US,,eodhd,MEDI.US
YIT FH,YIT.HE,eodhd,YIT.HE
CTRX US,,eodhd,CTRX.US
FSR US,FSR,eodhd,FSR.US
MIG US,,eodhd,MIG.US
GFT FP,,eodhd,GFT.PA
2807 TT,,eodhd,2807.TWO
DSCI US,,eodhd,DSCI.US
QTRN US,,eodhd,QTRN.US
AGR AV,,eodhd,AGR.VI
SALM US,,eodhd,SALM.US
CARY SS,CARY.ST,eodhd,CARY.ST
NOLAB SS,NOLA-B.ST,eodhd,NOLA-B.ST
BOQ AU,BOQ.AX,eodhd,BOQ.AU
WSKT IJ,,eodhd,WSKT.JK
LMNX US,,eodhd,LMNX.US
028670 KS,028670.KS,eodhd,028670.KQ
4201 JP,,yahoo,
IFAR SP,,eodhd,IFAR.SG
PBH AU,PBH.AX,eodhd,PBH.AU
ELPE GA,,eodhd,ELPE.AT
KKR US,KKR,eodhd,KKR.US
ITMN US,,eodhd,ITMN.US
1722 TT,,eodhd,1722.TW
SCO AU,,eodhd,SCO.AU
DB1 GR,DB1.DE,eodhd,DB1.XETRA
YELL US,,eodhd,YELL.US
8399 JP,,yahoo,
NXGN US,NXGN,eodhd,NXGN.US
ARQ AU,,eodhd,ARQ.AU
ZUO US,ZUO,eodhd,ZUO.US
3653 TT,,eodhd,3653.TW
MRTX US,MRTX,eodhd,MRTX.US
MTC LN,,eodhd,MTC.LSE
PFHD US,PFHD,eodhd,PFHD.US
003230 KS,003230.KS,eodhd,003230.KQ
SLRC US,,eodhd,SLRC.US
OSCR US,OSCR,eodhd,OSCR.US
INOV US,,eodhd,INOV.US
IND IM,,eodhd,IND.MI
TJX US,TJX,eodhd,TJX.US
SQNM US,,eodhd,SQNM.US
ALX NO,,eodhd,ALX.OL
3049 TT,,eodhd,3049.TW
FWRD US,FWRD,eodhd,FWRD.US
VAC1V FH,,eodhd,VAC1V.HE
DSY FP,DSY.PA,eodhd,DSY.PA
NRP SJ,NRP.JO,eodhd,NRP.JSE
PGEM US,,eodhd,PGEM.US
CL US,CL,eodhd,CL.US
ZRG SM,,eodhd,ZRG.MC
S63 SP,,eodhd,S63.SG
PAYC US,PAYC,eodhd,PAYC.US
A042420 KS,,eodhd,042420.KQ
10 HK,,eodhd,0010.HK
97 HK,,eodhd,0097.HK
EL US,EL,eodhd,EL.US
6498 JP,,yahoo,
VG US,,eodhd,VG.US
4369 JP,4369.T,yahoo,4369.T
KARO SS,,eodhd,KARO.ST
HLX US,HLX,eodhd,HLX.US
2726 JP,,yahoo,
CVTI US,,eodhd,CVTI.US
ROL US,ROL,eodhd,ROL.US
IMUC US,,eodhd,IMUC.US
AT CN,,eodhd,AT.TO
AEO US,AEO,eodhd,AEO.US
RHI US,RHI,eodhd,RHI.US
FM IM,,eodhd,FM.MI
067390 KS,,eodhd,067390.KQ
4572 JP,,yahoo,
EMP/A CN,EMP-A.TO,eodhd,EMP-A.TO
LNR US,,eodhd,LNR.US
VOC SM,,eodhd,VOC.MC
8369 JP,8369.T,yahoo,8369.T
9936 JP,,yahoo,
CRAYON NO,,eodhd,CRAYON.OL
BRCM US,,eodhd,BRCM.US
DAL US,DAL,eodhd,DAL.US
AO/ LN,AO.L,eodhd,AO.LSE
APN US,,eodhd,APN.US
663 HK,,eodhd,0663.HK
8283 JP,8283.T,yahoo,8283.T
UWMC US,UWMC,eodhd,UWMC.US
CONR US,,eodhd,CONR.US
TDW US,TDW,eodhd,TDW.US
NB CN,,eodhd,NB.TO
EOX US,,eodhd,EOX.US
PNH MK,,eodhd,PNH.KLSE
AZTA US,BRKS,eodhd,AZTA.US
ATRS AV,,eodhd,ATRS.VI
AGL IM,AGL.MI,eodhd,AGL.MI
MNCN IJ,,eodhd,MNCN.JK
APR US,,eodhd,APR.US
EGLT US,,eodhd,EGLT.US
DSM NA,DSM.AS,eodhd,DSM.AS
HMSY US,,eodhd,HMSY.US
AMP SM,,eodhd,AMP.MC
FLWS US,FLWS,eodhd,FLWS.US
6491 TT,6491.TW,eodhd,6491.TW
NMC US,,eodhd,NMC.US
3150 JP,3150.T,yahoo,3150.T
FVB US,,eodhd,FVB.US
LR IM,,eodhd,LR.MI
LILAK US,LILAK,eodhd,LILAK.US
WCN US,,eodhd,WCN.US
2731 JP,,yahoo,
PSG SM,PSG.MC,eodhd,PSG.MC
7211 JP,7211.T,yahoo,7211.T
FUNCOM NO,,eodhd,FUNCOM.OL
TEN IM,TEN.MI,eodhd,TEN.MI
WEB AU,WEB.AX,eodhd,WEB.AU
2365 TT,,eodhd,2365.TW
MUX US,,eodhd,MUX.US
HALO US,HALO,eodhd,HALO.US
SUR US,,eodhd,SUR.US
5911 JP,,yahoo,
ASSA IJ,,eodhd,ASSA.JK
OBE CN,,eodhd,OBE.TO
DTIL US,,eodhd,DTIL.US
EFX/U CN,,eodhd,EFX/U.TO
IGO AU,IGO.AX,eodhd,IGO.AU
CTG US,,eodhd,CTG.US
STG DC,STG.CO,eodhd,STG.CO
ASD LN,,eodhd,ASD.LSE
ROG SW,ROG.SW,eodhd,ROG.SW
032710 KS,,eodhd,032710.KQ
ROC AU,,eodhd,ROC.AU
TIM AU,,eodhd,TIM.AU
AMER3 BZ,AMER3.SA,eodhd,AMER3.SA
NPRO NO,,eodhd,NPRO.OL
AMBA US,AMBA,eodhd,AMBA.US
CVO AU,,eodhd,CVO.AU
340570 KS,340570.KQ,eodhd,340570.KQ
PAS US,,eodhd,PAS.US
000210 KS,,eodhd,000210.KQ
NOR NO,,eodhd,NOR.OL
WNC US,WNC,eodhd,WNC.US
AMAG DC,,eodhd,AMAG.CO
IBCIQ US,,eodhd,IBCIQ.US
KCS US,,eodhd,KCS.US
LEY FP,,eodhd,LEY.PA
REY IM,REY.MI,eodhd,REY.MI
1992 HK,1992.HK,eodhd,1992.HK
3057 TT,,eodhd,3057.TW
GMCR US,,eodhd,GMCR.US
FBNC US,FBNC,eodhd,FBNC.US
GTXMQ US,,eodhd,GTXMQ.US
TITC GA,,eodhd,TITC.AT
ORTX US,ORTX,eodhd,ORTX.US
7034 JP,,yahoo,
NEU US,,eodhd,NEU.US
CNA LN,CNA.L,eodhd,CNA.LSE
WGX AU,WGX.AX,eodhd,WGX.AU
HIM FP,,eodhd,HIM.PA
ALD LN,,eodhd,ALD.LSE
MTZ US,MTZ,eodhd,MTZ.US
AMSC NO,,eodhd,AMSC.OL
DGOC LN,,eodhd,DGOC.LSE
AUB US,,eodhd,AUB.US
688 HK,0688.HK,eodhd,0688.HK
ITN LN,,eodhd,ITN.LSE
010120 KS,010120.KS,eodhd,010120.KQ
4246 JP,,yahoo,
9923 HK,9923.HK,eodhd,9923.HK
8046 TT,8046.TW,eodhd,8046.TW
APP US,APP,eodhd,APP.US
ASCA US,,eodhd,ASCA.US
EGAN US,,eodhd,EGAN.US
COUP US,COUP,eodhd,COUP.US
4526 TT,,eodhd,4526.TW
9895420D US,,eodhd,9895420D.US
ERIE US,,eodhd,ERIE.US
SYNN SW,,eodhd,SYNN.SW
039130 KS,039130.KS,eodhd,039130.KQ
NVCR US,NVCR,eodhd,NVCR.US
6136 JP,6136.T,yahoo,6136.T
096640 KS,,eodhd,096640.KQ
CEC US,,eodhd,CEC.US
BAGFS TI,,eodhd,BAGFS.IS
CRFB3 BZ,CRFB3.SA,eodhd,CRFB3.SA
FRX US,,eodhd,FRX.US
3443 JP,,yahoo,
5741 JP,5741.T,yahoo,5741.T
SCHL US,,eodhd,SCHL.US
BHIL US,BHIL,eodhd,BHIL.US
CMLS US,CMLS,eodhd,CMLS.US
CBK US,,eodhd,CBK.US
TLN US,,eodhd,TLN.US
ABCL US,ABCL,eodhd,ABCL.US
071840 KS,,eodhd,071840.KQ
EIGR US,EIGR,eodhd,EIGR.US
UMG NA,UMG.AS,eodhd,UMG.AS
1093 HK,1093.HK,eodhd,1093.HK
DNLM LN,DNLM.L,eodhd,DNLM.LSE
RUE US,,eodhd,RUE.US
CTIP3 BZ,,eodhd,CTIP3.SA
VIRL US,,eodhd,VIRL.US
LZB US,LZB,eodhd,LZB.US
FXLV US,FXLV,eodhd,FXLV.US
TXN US,TXN,eodhd,TXN.US
GRTX US,,eodhd,GRTX.US
LBY US,,eodhd,LBY.US
007070 KS,007070.KS,eodhd,007070.KQ
TRID US,,eodhd,TRID.US
CYN US,,eodhd,CYN.US
111770 KS,111770.KS,eodhd,111770.KO
ZTS US,ZTS,eodhd,ZTS.US
COTN SW,COTN.SW,eodhd,COTN.SW
RHP SP,,eodhd,RHP.SG
6245 TT,,eodhd,6245.TWO
PSI CN,PSI.TO,eodhd,PSI.TO
RAIL US,,eodhd,RAIL.US
FWRG US,FWRG,eodhd,FWRG.US
MGNI US,MGNI,eodhd,MGNI.US
ROCK US,ROCK,eodhd,ROCK.US
6915 JP,,yahoo,
1520 TT,,eodhd,1520.TWO
BBVA SM,BBVA.MC,eodhd,BBVA.MC
IAR US,,eodhd,IAR.US
YDUQ3 BZ,YDUQ3.SA,eodhd,YDUQ3.SA
FC US,,eodhd,FC.US
KSP ID,KRX.IR,eodhd,KRX.IR
NATL US,,eodhd,NATL.US
TAP/B US,,eodhd,TAP-B.US
AMM MK,1015.KL,eodhd,1015.KLSE
SPN US,,eodhd,SPN.US
ALM SM,ALM.MC,eodhd,ALM.MC
MAN3 GR,,eodhd,MAN3.XETRA
INLOT GA,,eodhd,INLOT.AT
SUG US,,eodhd,SUG.US
A030530 KS,,eodhd,030530.KQ
PHTM LN,,eodhd,PHTM.LSE
BTS TB,,eodhd,BTS.BK
306040 KS,,eodhd,306040.KQ
7816 JP,7816.T,yahoo,7816.T
016380 KS,,eodhd,016380.KQ
IPL SJ,,eodhd,IPL.JSE
CVRS US,,eodhd,CVRS.US
IDIX US,,eodhd,IDIX.US
2688 JP,,yahoo,
WCS US,,eodhd,WCS.US
DNEX MK,4456.KL,eodhd,4456.KLSE
BCEL US,,eodhd,BCEL.US
HKRS US,,eodhd,HKRS.US
SPR GR,,eodhd,SPR.XETRA
TRUE TB,,eodhd,TRUE.BK
5959 JP,,yahoo,
BRSN LN,,eodhd,BRSN.LSE
4403 JP,4403.T,yahoo,4403.T
OCA NZ,,yahoo,
7558 JP,,yahoo,
LVS US,LVS,eodhd,LVS.US
CHRW US,CHRW,eodhd,CHRW.US
HOFT US,,eodhd,HOFT.US
4312 JP,,yahoo,
HWC US,HWC,eodhd,HWC.US
HTGC US,,eodhd,HTGC.US
PVE CN,,eodhd,PVE.TO
FNGN US,,eodhd,FNGN.US
TTC US,TTC,eodhd,TTC.US
VIRP FP,VIRP.PA,eodhd,VIRP.PA
EKT GR,EKT.DE,eodhd,EKT.XETRA
2489 TT,,eodhd,2489.TW
4733 JP,4733.T,yahoo,4733.T
BAS US,,eodhd,BAS.US
PRF IM,,eodhd,PRF.MI
SOKM TI,,eodhd,SOKM.IS
2505 TT,,eodhd,2505.TW
SATC US,,eodhd,SATC.US
GLO LN,,eodhd,GLO.LSE
3990 HK,3990.HK,eodhd,3990.HK
NUCO US,,eodhd,NUCO.US
IL US,,eodhd,IL.US
MMHE MK,,eodhd,MMHE.KLSE
3034 TT,3034.TW,eodhd,3034.TW
DSP US,,eodhd,DSP.US
ACV US,,eodhd,ACV.US
6881 HK,6881.HK,eodhd,6881.HK
TLMR US,,eodhd,TLMR.US
POP US,,eodhd,POP.US
OA US,,eodhd,OA.US
FORT LN,FORT.L,eodhd,FORT.LSE
PSB US,,eodhd,PSB.US
SFW LN,,eodhd,SFW.LSE
ACLI US,,eodhd,ACLI.US
4203 JP,4203.T,yahoo,4203.T
2412 JP,2412.T,yahoo,2412.T
1909 TT,,eodhd,1909.TW
CHTP US,,eodhd,CHTP.US
PARA US,VIAC,eodhd,PARA.US
BMTR IJ,,eodhd,BMTR.JK
KDX CN,,eodhd,KDX.TO
MXWL US,,eodhd,MXWL.US
CFR SW,CFR.SW,eodhd,CFR.SW
PFMT US,,eodhd,PFMT.US
RGC US,,eodhd,RGC.US
LEG GR,LEG.DE,eodhd,LEG.XETRA
A054620 KS,,eodhd,054620.KQ
IPXLE US,,eodhd,IPXLE.US
BEL PM,,eodhd,BEL.PSE
197 HK,,eodhd,0197.HK
ARK LN,,eodhd,ARK.LSE
NOR US,,eodhd,NOR.US
5384 JP,5384.T,yahoo,5384.T
6765 JP,,yahoo,
1606 TT,,eodhd,1606.TWO
SYY US,SYY,eodhd,SYY.US
6067 JP,6067.T,yahoo,6067.T
DOLE US,DOLE,eodhd,DOLE.US
KWD US,,eodhd,KWD.US
BRW US,,eodhd,BRW.US
CNTY US,CNTY,eodhd,CNTY.US
PRFT US,PRFT,eodhd,PRFT.US
MSFG US,,eodhd,MSFG.US
297 HK,0297.HK,eodhd,0297.HK
BT/A LN,BT-A.L,eodhd,BT-A.LSE
CAP IM,,eodhd,CAP.MI
BREW US,,eodhd,BREW.US
JRCC US,,eodhd,JRCC.US
AMA AU,,eodhd,AMA.AU
4162 TT,4162.TWO,eodhd,4162.TWO
LGTO US,,eodhd,LGTO.US
SPA US,,eodhd,SPA.US
ENOV US,,eodhd,ENOV.US
HBI US,HBI,eodhd,HBI.US
BCOR SS,,eodhd,BCOR.ST
MACIN NA,,eodhd,MACIN.AS
ORA AU,ORA.AX,eodhd,ORA.AU
KN US,KN,eodhd,KN.US
BNK CN,,eodhd,BNK.TO
VALUE SP,,eodhd,VALUE.SG
GLDB US,,eodhd,GLDB.US
VIVE US,,eodhd,VIVE.US
7564 JP,7564.T,yahoo,7564.T
GSHD US,GSHD,eodhd,GSHD.US
LNKD US,,eodhd,LNKD.US
1097 HK,,eodhd,1097.HK
VID SM,,eodhd,VID.MC
ATEX US,ATEX,eodhd,ATEX.US
SFER IM,SFER.MI,eodhd,SFER.MI
RBA CN,RBA.TO,eodhd,RBA.TO
6878 HK,6878.HK,eodhd,6878.HK
902 HK,0902.HK,eodhd,0902.HK
2881 TT,2881.TW,eodhd,2881.TW
4530 JP,,yahoo,
1675 HK,1675.HK,eodhd,1675.HK
FIGS US,FIGS,eodhd,FIGS.US
MRC US,MRC,eodhd,MRC.US
CY US,,eodhd,CY.US
TOM NO,,eodhd,TOM.OL
MITK US,MITK,eodhd,MITK.US
BWMX US,BWMX,eodhd,BWMX.US
1762 TT,,eodhd,1762.TW
LOGO TI,,eodhd,LOGO.IS
086280 KS,086280.KS,eodhd,086280.KQ
CS/ LN,,eodhd,CS.LSE
PKI CN,PKI.TO,eodhd,PKI.TO
HWDN LN,HWDN.L,eodhd,HWDN.LSE
COX FP,,eodhd,COX.PA
TAXI IJ,,eodhd,TAXI.JK
CCB US,CCB,eodhd,CCB.US
DNX LN,,eodhd,DNX.LSE
5101 JP,5101.T,yahoo,5101.T
SDXC US,,eodhd,SDXC.US
336260 KS,336260.KS,eodhd,336260.KQ
3380 TT,,eodhd,3380.TW
MPI PM,,eodhd,MPI.PSE
MNM MK,,eodhd,MNM.KLSE
IMPH US,,eodhd,IMPH.US
VRSA NA,,eodhd,VRSA.AS
JAK MK,,eodhd,JAK.KLSE
4186 JP,4186.T,yahoo,4186.T
9616 JP,9616.T,yahoo,9616.T
DCN US,,eodhd,DCN.US
8180 JP,,yahoo,
TON SJ,,eodhd,TON.JSE
CTCI US,,eodhd,CTCI.US
FSS US,FSS,eodhd,FSS.US
MTSN US,,eodhd,MTSN.US
AX1 AU,AX1.AX,eodhd,AX1.AU
ATC US,ATC,eodhd,ATC.US
2350 TT,,eodhd,2350.TWO
ABOS US,,eodhd,ABOS.US
QGC AU,,eodhd,QGC.AU
ENZN US,,eodhd,ENZN.US
2238 HK,2238.HK,eodhd,2238.HK
TLM CN,,eodhd,TLM.TO
TRD FP,,eodhd,TRD.PA
JOBY US,JOBY,eodhd,JOBY.US
5274 TT,5274.TWO,eodhd,5274.TWO
9938 TT,9938.TW,eodhd,9938.TW
GFTU LN,GFTU.L,eodhd,GFTU.LSE
JNPR US,JNPR,eodhd,JNPR.US
TMS US,,eodhd,TMS.US
MGNX US,MGNX,eodhd,MGNX.US
CNXT US,,eodhd,CNXT.US
GEHL US,,eodhd,GEHL.US
PLBY US,PLBY,eodhd,PLBY.US
BEV US,,eodhd,BEV.US
GRPB MK,,eodhd,GRPB.KLSE
PEY CN,PEY.TO,eodhd,PEY.TO
RBI CN,,eodhd,RBI.TO
NXE CN,NXE.TO,eodhd,NXE.TO
063350 KS,,eodhd,063350.KQ
TRPL4 BZ,TRPL4.SA,eodhd,TRPL4.SA
3673 JP,,yahoo,
HARB US,,eodhd,HARB.US
REC IM,REC.MI,eodhd,REC.MI
SNF FP,,eodhd,SNF.PA
OPRX US,OPRX,eodhd,OPRX.US
CVO US,,eodhd,CVO.US
MDF SM,,eodhd,MDF.MC
GVTT3 BZ,,eodhd,GVTT3.SA
GMED US,GMED,eodhd,GMED.US
EV US,,eodhd,EV.US
2096 HK,2096.HK,eodhd,2096.HK
LVLT US,,eodhd,LVLT.US
FDO US,,eodhd,FDO.US
CHC US,,eodhd,CHC.US
YNAP IM,,eodhd,YNAP.MI
9003 JP,9003.T,yahoo,9003.T
EVCM US,EVCM,eodhd,EVCM.US
JBSS3 BZ,JBSS3.SA,eodhd,JBSS3.SA
BMRC US,BMRC,eodhd,BMRC.US
WK US,WK,eodhd,WK.US
ULCM US,,eodhd,ULCM.US
PRTK US,,eodhd,PRTK.US
TVIA US,,eodhd,TVIA.US
SSTK US,SSTK,eodhd,SSTK.US
CEIX US,CEIX,eodhd,CEIX.US
FP FP,,eodhd,FP.PA
GBE US,,eodhd,GBE.US
MCHL LN,,eodhd,MCHL.LSE
CORE US,,eodhd,CORE.US
FNA US,FNA,eodhd,FNA.US
9741 JP,,yahoo,
3031 TT,,eodhd,3031.TW
NEC AU,NEC.AX,eodhd,NEC.AU
BMET US,,eodhd,BMET.US
3019 TT,,eodhd,3019.TW
TCRT US,,eodhd,TCRT.US
BZUN US,BZUN,eodhd,BZUN.US
CZOO US,CZOO,eodhd,CZOO.US
PRCH US,PRCH,eodhd,PRCH.US
ZETA US,ZETA,eodhd,ZETA.US
LRN US,LRN,eodhd,LRN.US
SBOW US,SBOW,eodhd,SBOW.US
CBB MK,,eodhd,CBB.KLSE
LINK NO,,eodhd,LINK.OL
WSP CN,WSP.TO,eodhd,WSP.TO
SMP LN,,eodhd,SMP.LSE
FYB GR,FYB.DE,eodhd,FYB.XETRA
8105 TT,,eodhd,8105.TW
CBAK US,,eodhd,CBAK.US
SOLY US,,eodhd,SOLY.US
KNIN SW,KNIN.SW,eodhd,KNIN.SW
RADIB DC,,eodhd,RADIB.CO
RVMD US,RVMD,eodhd,RVMD.US
OMV AV,OMV.VI,eodhd,OMV.VI
LPSB3 BZ,,eodhd,LPSB3.SA
FDS US,FDS,eodhd,FDS.US
2481 TT,2481.TW,eodhd,2481.TW
TUI1 GR,TUI1.DE,eodhd,TUI1.XETRA
DCI US,DCI,eodhd,DCI.US
HUFVA SS,HUFV-A.ST,eodhd,HUFV-A.ST
HTE-U CN,,eodhd,HTE-UN.TO
DTAC TB,,eodhd,DTAC.BK
FME GR,FME.DE,eodhd,FME.XETRA
RVNC US,RVNC,eodhd,RVNC.US
AQUA US,AQUA,eodhd,AQUA.US
VVUS US,,eodhd,VVUS.US
ADS LN,,eodhd,ADS.LSE
IIN AU,,eodhd,IIN.AU
VBIV US,VBIV,eodhd,VBIV.US
RADH SS,,eodhd,RADH.ST
8888 JP,,yahoo,
QED LN,,eodhd,QED.LSE
LFUS US,LFUS,eodhd,LFUS.US
6440 JP,,yahoo,
MEG PM,,eodhd,MEG.PSE
BRPR3 BZ,BRPR3.SA,eodhd,BRPR3.SA
ODP US,,eodhd,ODP.US
ASTE US,ASTE,eodhd,ASTE.US
586 HK,0586.HK,eodhd,0586.HK
BAMI IM,BAMI.MI,eodhd,BAMI.MI
RURL US,,eodhd,RURL.US
MER PM,,eodhd,MER.PSE
ALSK US,,eodhd,ALSK.US
2988 HK,,eodhd,2988.HK
GMAN US,,eodhd,GMAN.US
8056 JP,8056.T,yahoo,8056.T
145020 KS,145020.KQ,eodhd,145020.KQ
8515 JP,8515.T,yahoo,8515.T
SCST SS,,eodhd,SCST.ST
ASCL US,,eodhd,ASCL.US
ABYA3 BZ,,eodhd,ABYA3.SA
096770 KS,096770.KS,eodhd,096770.KQ
ELF US,ELF,eodhd,ELF.US
2103 TT,2103.TW,eodhd,2103.TW
INDUC SS,,eodhd,INDUC.ST
WLSC US,,eodhd,WLSC.US
KEX TB,,eodhd,KEX.BK
799 HK,0799.HK,eodhd,0799.HK
DRTY LN,,eodhd,DRTY.LSE
ALG FP,,eodhd,ALG.PA
VIVA3 BZ,VIVA3.SA,eodhd,VIVA3.SA
063570 KS,,eodhd,063570.KQ
SENS SW,SENS.SW,eodhd,SENS.SW
VSTM US,,eodhd,VSTM.US
AXLL US,,eodhd,AXLL.US
RNWK US,,eodhd,RNWK.US
GYI US,,eodhd,GYI.US
EHE AU,,eodhd,EHE.AU
ACTI US,,eodhd,ACTI.US
UNI MK,,eodhd,UNI.KLSE
017960 KS,,eodhd,017960.KQ
ZEUS US,,eodhd,ZEUS.US
TOMO US,,eodhd,TOMO.US
VDOR NA,,eodhd,VDOR.AS
WFM US,,eodhd,WFM.US
6282 JP,,yahoo,
AUTN SW,AUTN.SW,eodhd,AUTN.SW
9435 JP,9435.T,yahoo,9435.T
OPTN US,,eodhd,OPTN.US
TBNK US,,eodhd,TBNK.US
CQL CN,,eodhd,CQL.TO
HTRN US,,eodhd,HTRN.US
667 HK,0667.HK,eodhd,0667.HK
NVLN CN,,eodhd,NVLN.TO
BRFS3 BZ,BRFS3.SA,eodhd,BRFS3.SA
ASAN US,ASAN,eodhd,ASAN.US
SAN SM,SAN.MC,eodhd,SAN.MC
DPH LN,DPH.L,eodhd,DPH.LSE
3222 JP,,yahoo,
LREN3 BZ,LREN3.SA,eodhd,LREN3.SA
ZOT SM,,eodhd,ZOT.MC
522 HK,0522.HK,eodhd,0522.HK
HLDX SS,,eodhd,HLDX.ST
CNXN US,CNXN,eodhd,CNXN.US
UMSH SP,558.SI,eodhd,558.SG
HSH US,,eodhd,HSH.US
HLFG MK,,eodhd,HLFG.KLSE
CARLB DC,CARL-B.CO,eodhd,CARLB.CO
LCAM3 BZ,,eodhd,LCAM3.SA
6412 JP,,yahoo,
PHARM NA,PHARM.AS,eodhd,PHARM.AS
SIRO US,,eodhd,SIRO.US
DAT SP,,eodhd,DAT.SG
MTN US,MTN,eodhd,MTN.US
003000 KS,,eodhd,003000.KQ
M TB,,eodhd,M.BK
TRR US,,eodhd,TRR.US
CGL LN,,eodhd,CGL.LSE
BID SJ,BID.JO,eodhd,BID.JSE
RUBY US,,eodhd,RUBY.US
GSK LN,GSK.L,eodhd,GSK.LSE
6098 JP,6098.T,yahoo,6098.T
WIX US,,eodhd,WIX.US
4593 JP,4593.T,yahoo,4593.T
FVI CN,FVI.TO,eodhd,FVI.TO
VTC LN,,eodhd,VTC.LSE
696 HK,0696.HK,eodhd,0696.HK
6436 JP,,yahoo,
ENEL IM,ENEL.MI,eodhd,ENEL.MI
HEAL IJ,,eodhd,HEAL.JK
MCY US,,eodhd,MCY.US
AAXN US,,eodhd,AAXN.US
VCEL US,VCEL,eodhd,VCEL.US
DSV DC,DSV.CO,eodhd,DSV.CO
IGTI11 BZ,IGTI11.SA,eodhd,IGTI11.SA
2536 TT,,eodhd,2536.TW
SATS US,SATS,eodhd,SATS.US
CDW US,CDW,eodhd,CDW.US
RATCH TB,,eodhd,RATCH.BK
ENZ US,,eodhd,ENZ.US
HCM LN,,eodhd,HCM.LSE
CAC US,CAC,eodhd,CAC.US
2427 JP,2427.T,yahoo,2427.T
RAE US,,eodhd,RAE.US
BCH TB,,eodhd,BCH.BK
MIC CN,,eodhd,MIC.TO
CATO US,,eodhd,CATO.US
ADCT US,ADCT,eodhd,ADCT.US
161890 KS,161890.KS,eodhd,161890.KO
FKR IM,,eodhd,FKR.MI
