bloomberg_ticker,yahoo,data_provider,signals_ticker
SGI US,,eodhd,SGI.US
KPPC US,,eodhd,KPPC.US
OTIS US,OTIS,eodhd,OTIS.US
BANB SW,BANB.SW,eodhd,BANB.SW
3320 HK,3320.HK,eodhd,3320.HK
FHN US,FHN,eodhd,FHN.US
EOS AU,EOS.AX,eodhd,EOS.AU
PTLA US,,eodhd,PTLA.US
EBS US,EBS,eodhd,EBS.US
SHEN US,SHEN,eodhd,SHEN.US
1138 HK,1138.HK,eodhd,1138.HK
BCPC US,,eodhd,BCPC.US
218410 KS,218410.KQ,eodhd,218410.KQ
SAMAS NA,,eodhd,SAMAS.AS
HLTH US,HLTH,eodhd,HLTH.US
TWGP US,,eodhd,TWGP.US
MC US,MC,eodhd,MC.US
LMAT US,LMAT,eodhd,LMAT.US
CBHI US,,eodhd,CBHI.US
9682 JP,,yahoo,
RDSB US,,eodhd,RDSB.US
NCRX US,,eodhd,NCRX.US
VOC AU,,eodhd,VOC.AU
G24 GR,G24.F,eodhd,G24.XETRA
NLY US,,eodhd,NLY.US
TLAB US,,eodhd,TLAB.US
OCI NA,OCI.AS,eodhd,OCI.AS
FNAC FP,FNAC.PA,eodhd,FNAC.PA
TNET BB,TNET.BR,eodhd,TNET.BR
8763 JP,,yahoo,
SGP AU,,eodhd,SGP.AU
TIH CN,TIH.TO,eodhd,TIH.TO
SRP AU,,eodhd,SRP.AU
EBF US,,eodhd,EBF.US
CNMD US,CNMD,eodhd,CNMD.US
AML LN,AML.L,eodhd,AML.LSE
3583 TT,,eodhd,3583.TW
KMT US,KMT,eodhd,KMT.US
ARL GR,,eodhd,ARL.XETRA
CNTE US,,eodhd,CNTE.US
ME US,,eodhd,ME.US
TACT US,,eodhd,TACT.US
981 HK,,eodhd,0981.HK
393 HK,,eodhd,0393.HK
MDS US,,eodhd,MDS.US
DXYN US,,eodhd,DXYN.US
TBK US,TBK,eodhd,TBK.US
NVA LN,,eodhd,NVA.LSE
BIG US,BIG,eodhd,BIG.US
DINO US,,eodhd,DINO.US
ANIK US,ANIK,eodhd,ANIK.US
1268 HK,1268.HK,eodhd,1268.HK
2186 HK,2186.HK,eodhd,2186.HK
MODL11 BZ,MODL11.SA,eodhd,MODL11.SA
VIAV US,VIAV,eodhd,VIAV.US
2314 HK,2314.HK,eodhd,2314.HK
MBIN US,,eodhd,MBIN.US
7522 JP,,yahoo,
STCBV FH,,eodhd,STCBV.HE
SILO IJ,,eodhd,SILO.JK
NIBC NA,,eodhd,NIBC.AS
3687 JP,,yahoo,
4516 JP,4516.T,yahoo,4516.T
FORR US,FORR,eodhd,FORR.US
OZK US,OZK,eodhd,OZK.US
BKCC US,,eodhd,BKCC.US
489 HK,0489.HK,eodhd,0489.HK
SBFG3 BZ,SBFG3.SA,eodhd,SBFG3.SA
FOXH US,,eodhd,FOXH.US
AGHOL TI,,eodhd,AGHOL.IS
ETM US,,eodhd,ETM.US
VIRX US,,eodhd,VIRX.US
CSN CN,,eodhd,CSN.TO
1332 JP,1332.T,yahoo,1332.T
GENM MK,4715.KL,eodhd,4715.KLSE
RSAS US,,eodhd,RSAS.US
HIBI MK,5199.KL,eodhd,5199.KLSE
MAIN US,,eodhd,MAIN.US
KEL CN,,eodhd,KEL.TO
USB US,USB,eodhd,USB.US
HU US,,eodhd,HU.US
MGLN US,,eodhd,MGLN.US
VAS US,,eodhd,VAS.US
ONCT US,,eodhd,ONCT.US
ROIAK US,,eodhd,ROIAK.US
030000 KS,030000.KS,eodhd,030000.KQ
TRVN US,,eodhd,TRVN.US
3322 HK,,eodhd,3322.HK
AMBC US,,eodhd,AMBC.US
RYTM US,,eodhd,RYTM.US
TALS US,TALS,eodhd,TALS.US
EMAG US,,eodhd,EMAG.US
MBKET TB,,eodhd,MBKET.BK
ICAD US,,eodhd,ICAD.US
JAMF US,JAMF,eodhd,JAMF.US
SMSC US,,eodhd,SMSC.US
005160 KS,,eodhd,005160.KQ
H CN,H.TO,eodhd,H.TO
GCD CN,,eodhd,GCD.TO
2328 HK,2328.HK,eodhd,2328.HK
3868 HK,3868.HK,eodhd,3868.HK
ICLL AV,,eodhd,ICLL.VI
7606 JP,7606.T,yahoo,7606.T
4187 JP,4187.T,yahoo,4187.T
AHCI US,,eodhd,AHCI.US
RYAN US,RYAN,eodhd,RYAN.US
ALLD LN,,eodhd,ALLD.LSE
THULE SS,THULE.ST,eodhd,THULE.ST
ACQ CN,,eodhd,ACQ.TO
GENT MK,3182.KL,eodhd,3182.KLSE
LMIA US,,eodhd,LMIA.US
ANET US,ANET,eodhd,ANET.US
27 HK,0027.HK,eodhd,0027.HK
CSFL US,,eodhd,CSFL.US
241710 KS,,eodhd,241710.KQ
PNP US,,eodhd,PNP.US
7729 JP,7729.T,yahoo,7729.T
PAR US,PAR,eodhd,PAR.US
PGAS IJ,,eodhd,PGAS.JK
AZN LN,AZN.L,eodhd,AZN.LSE
1788 HK,,eodhd,1788.HK
ERG LN,,eodhd,ERG.LSE
MRR US,,eodhd,MRR.US
CNTO3 BZ,,eodhd,CNTO3.SA
1835 JP,,yahoo,
BATS LN,BATS.L,eodhd,BATS.LSE
2637 TT,,eodhd,2637.TW
TNGO US,,eodhd,TNGO.US
KORDS TI,,eodhd,KORDS.IS
MEKO SS,,eodhd,MEKO.ST
DSJ GR,,eodhd,DSJ.XETRA
2157 JP,,yahoo,
BOKF US,BOKF,eodhd,BOKF.US
6941 JP,,yahoo,
CBL US,,eodhd,CBL.US
SPR US,SPR,eodhd,SPR.US
IRBR3 BZ,,eodhd,IRBR3.SA
REN NA,,eodhd,REN.AS
SRGA US,,eodhd,SRGA.US
VCH SW,,eodhd,VCH.SW
THRY US,THRY,eodhd,THRY.US
GNFT FP,GNFT.PA,eodhd,GNFT.PA
EEE/U CN,,eodhd,EEE/U.TO
29M AU,29M.AX,eodhd,29M.AU
NCT US,,eodhd,NCT.US
5942 JP,,yahoo,
OSEM IT,,eodhd,OSEM.TA
8934 JP,,yahoo,
933 HK,,eodhd,0933.HK
RS1 LN,ECM.L,eodhd,RS1.LSE
UGI US,UGI,eodhd,UGI.US
LEA US,LEA,eodhd,LEA.US
BRKL US,BRKL,eodhd,BRKL.US
AMP IM,AMP.MI,eodhd,AMP.MI
NIS LN,,eodhd,NIS.LSE
2593 JP,2593.T,yahoo,2593.T
BCART BB,,eodhd,BCART.BR
005990 KS,,eodhd,005990.KQ
NRG US,NRG,eodhd,NRG.US
TWOU US,TWOU,eodhd,TWOU.US
4331 JP,,yahoo,
VAMO3 BZ,VAMO3.SA,eodhd,VAMO3.SA
RRL AU,RRL.AX,eodhd,RRL.AU
ACAT US,,eodhd,ACAT.US
LNR CN,LNR.TO,eodhd,LNR.TO
MET US,MET,eodhd,MET.US
JAZ SM,,eodhd,JAZ.MC
KCI US,,eodhd,KCI.US
VEA AU,VEA.AX,eodhd,VEA.AU
HILL US,,eodhd,HILL.US
VMC US,VMC,eodhd,VMC.US
MCRS US,,eodhd,MCRS.US
CACQ US,,eodhd,CACQ.US
683 HK,0683.HK,eodhd,0683.HK
FLYRE US,,eodhd,FLYRE.US
OYAKC TI,,eodhd,OYAKC.IS
TEX US,TEX,eodhd,TEX.US
UCTT US,UCTT,eodhd,UCTT.US
1504 TT,1504.TW,eodhd,1504.TW
KSB MK,,eodhd,KSB.KLSE
A035080 KS,,eodhd,035080.KQ
ECW MK,,eodhd,ECW.KLSE
PMVP US,PMVP,eodhd,PMVP.US
ANG SJ,ANG.JO,eodhd,ANG.JSE
086900 KS,086900.KQ,eodhd,086900.KQ
KFX US,,eodhd,KFX.US
033780 KS,033780.KS,eodhd,033780.KQ
SCFS US,,eodhd,SCFS.US
GATE SW,,eodhd,GATE.SW
BIRD US,BIRD,eodhd,BIRD.US
3443 TT,3443.TW,eodhd,3443.TW
SANA US,SANA,eodhd,SANA.US
POG US,,eodhd,POG.US
SLM US,SLM,eodhd,SLM.US
FLTX US,,eodhd,FLTX.US
REDD LN,REDD.L,eodhd,REDD.LSE
IFOX US,,eodhd,IFOX.US
MGAM LN,MGAM.L,eodhd,MGAM.LSE
GOLF US,GOLF,eodhd,GOLF.US
AQMS US,,eodhd,AQMS.US
PHAS US,,eodhd,PHAS.US
4666 JP,4666.T,yahoo,4666.T
6865 HK,6865.HK,eodhd,6865.HK
FWONK US,FWONK,eodhd,FWONK.US
DPW GR,DPW.DE,eodhd,DPW.XETRA
AGAM US,,eodhd,AGAM.US
7476 JP,7476.T,yahoo,7476.T
LIAB SS,LIAB.ST,eodhd,LIAB.ST
GRG LN,GRG.L,eodhd,GRG.LSE
IPMT US,,eodhd,IPMT.US
BCIV SM,,eodhd,BCIV.MC
NAT SM,,eodhd,NAT.MC
ERICB SS,ERIC-B.ST,eodhd,ERIC-B.ST
3932 JP,3932.T,yahoo,3932.T
5991 JP,,yahoo,
SPLS US,,eodhd,SPLS.US
6677 JP,,yahoo,
NAVG US,,eodhd,NAVG.US
AR4 GR,AR4.DE,eodhd,AR4.XETRA
CECE US,,eodhd,CECE.US
2607 JP,2607.T,yahoo,2607.T
CTB US,,eodhd,CTB.US
BRCC US,BRCC,eodhd,BRCC.US
SUPN US,SUPN,eodhd,SUPN.US
6206 JP,,yahoo,
ARCLK TI,,eodhd,ARCLK.IS
4922 JP,4922.T,yahoo,4922.T
ATHX US,,eodhd,ATHX.US
003600 KS,,eodhd,003600.KQ
TARS US,TARS,eodhd,TARS.US
EPC US,EPC,eodhd,EPC.US
003550 KS,003550.KS,eodhd,003550.KQ
4004 JP,4004.T,yahoo,4004.T
GSIH US,,eodhd,GSIH.US
TOBC US,,eodhd,TOBC.US
BLU SJ,,eodhd,BLU.JSE
OPRT US,OPRT,eodhd,OPRT.US
570 HK,0570.HK,eodhd,0570.HK
VRRM US,VRRM,eodhd,VRRM.US
4552 JP,4552.T,yahoo,4552.T
DHX CN,,eodhd,DHX.TO
SEH US,,eodhd,SEH.US
MERQE US,,eodhd,MERQE.US
MAKO US,,eodhd,MAKO.US
IMPV US,,eodhd,IMPV.US
AKBNK TI,,eodhd,AKBNK.IS
390 HK,0390.HK,eodhd,0390.HK
BAG LN,,eodhd,BAG.LSE
CNVR US,,eodhd,CNVR.US
KARN SW,KARN.SW,eodhd,KARN.SW
5332 JP,5332.T,yahoo,5332.T
AN US,AN,eodhd,AN.US
4574 JP,,yahoo,
KIM AU,,eodhd,KIM.AU
OSIR US,,eodhd,OSIR.US
EKO NO,,eodhd,EKO.OL
4282 JP,,yahoo,
BRE US,,eodhd,BRE.US
MCHX US,,eodhd,MCHX.US
123100 KS,,eodhd,123100.KQ
OCBC SP,O39.SI,eodhd,O39.SG
RMTI US,,eodhd,RMTI.US
WING US,WING,eodhd,WING.US
WLW LN,,eodhd,WLW.LSE
RBBN US,RBBN,eodhd,RBBN.US
BHP AU,BHP.AX,eodhd,BHP.AU
1323Q US,,eodhd,1323Q.US
TXT US,TXT,eodhd,TXT.US
KTR US,,eodhd,KTR.US
